Age,PC,PN,PCE,TI,AgexTI
1.209,0.918,1.004,0.678,0.71,0.858
0.081,0.874,1.017,0.678,0.472,0.038
0.081,1.599,0.771,1.022,1.282,0.104
-1.047,0.54,-0.108,1.011,0.978,-1.024
1.209,1.265,1.056,1.049,0.954,1.154
-1.047,1.555,1.056,1.049,1.008,-1.055
-1.047,1.208,-0.147,1.011,0.996,-1.043
0.081,1.555,0.802,1.022,0.954,0.077
1.209,0.918,0.771,1.022,0.99,1.197
-1.047,1.215,0.784,1.049,0.954,-0.999
0.081,0.881,1.056,1.011,0.388,0.031
2.338,1.258,1.004,1.049,1.27,2.97
0.081,-0.046,1.056,1.049,-0.136,-0.011
-1.047,0.54,1.004,1.022,0.704,-0.737
-1.047,1.258,0.762,1.022,0.978,-1.024
-1.047,1.215,0.823,1.011,1.282,-1.342
1.209,0.924,1.258,1.393,1.246,1.507
0.081,1.258,0.762,1.393,0.978,0.079
0.081,0.918,1.056,1.393,1.282,0.104
-1.047,0.924,0.802,1.393,0.472,-0.494
-1.047,-0.38,1.017,1.393,0.99,-1.036
-1.047,-4.005,-2.698,-2.623,0.668,-0.699
-1.047,-0.387,-1.048,0.296,-0.923,0.966
1.209,0.584,1.258,0.678,1.526,1.846
0.081,1.215,0.569,0.64,0.99,0.08
0.081,1.259,-2.655,0.64,0.954,0.077
0.081,1.215,1.258,1.022,1.526,0.124
0.081,1.215,1.258,1.011,0.99,0.08
0.081,1.889,1.258,1.393,1.526,0.124
0.081,1.889,1.258,1.393,1.526,0.124
-1.047,1.889,1.258,1.393,1.526,-1.598
1.209,1.889,1.258,1.393,1.526,1.846
0.081,0.918,1.258,1.393,1.526,0.124
