Age,AgexTI1,AgexTI2,AgexTI3,AgexTI4,AgexTI5,PCE1,PCE2,PCE3,PCE4,PC1,PC2,PC3,PC4,PN1,PN2,PN3,PN4,TI1,TI2,TI3,TI4,TI5
0.081,-0.206,-0.086,0.003,-0.215,-0.263,0.158,-0.538,0.114,-0.584,0.59,1.38,1.455,-0.565,-0.678,0.341,1.016,0.323,-1.068,0.022,1.248,0.211,-0.81
0.081,-0.106,0.004,-0.177,-0.215,-0.263,0.158,0.331,0.114,-0.584,0.59,1.38,1.455,-0.565,-0.678,0.341,-0.496,-1.268,0.087,1.044,-0.848,0.211,-0.81
1.209,-1.488,-0.059,0.152,1.287,0.014,0.158,1.201,-0.896,0.365,-0.495,-0.623,0.404,0.505,-0.678,-0.467,0.26,0.323,-1.068,0.022,0.2,1.233,0.164
-1.047,-0.21,-1.277,-1.487,-1.548,0.693,1.211,0.331,0.114,-0.584,0.59,1.38,0.404,1.574,1.072,1.149,1.016,0.323,0.087,1.044,1.248,1.233,-0.81
1.209,-0.002,-0.059,1.493,1.287,0.014,0.158,1.201,-0.896,0.365,-0.495,-0.623,0.404,0.505,0.197,-0.467,1.016,0.323,0.087,0.022,1.248,1.233,0.164
0.081,-0.106,0.004,-0.087,-0.13,-0.098,1.211,0.331,-0.896,-0.584,-0.495,0.379,0.404,1.574,-0.678,1.149,1.016,1.119,0.087,1.044,0.2,1.233,1.139
1.209,1.484,1.285,-6.554,0.027,0.014,1.211,0.331,0.114,-1.532,1.676,0.379,-0.647,0.505,1.072,1.149,1.016,1.119,1.241,1.044,-5.04,0.211,0.164
-1.047,-0.21,-0.114,0.836,-0.457,-0.375,-0.895,-0.538,0.114,-0.584,-0.495,0.379,-0.647,-0.565,0.197,-0.467,-0.496,0.323,0.087,0.022,-0.848,0.211,0.164
-1.047,-0.21,-0.114,0.836,0.634,0.693,-0.895,-0.538,0.114,-0.584,-0.495,-0.623,-0.647,-0.565,0.197,-0.467,0.26,0.323,0.087,0.022,-0.848,-0.811,-0.81
-1.047,-0.21,1.05,0.836,-0.457,0.693,-1.947,0.331,-0.896,0.365,-1.581,-1.624,-0.647,0.505,0.197,-0.467,-0.496,0.323,0.087,-0.999,-0.848,0.211,-0.81
